25,David,Montgomery,RB,CHI,11
26,Cam,Akers,RB,LAR,9
27,Ronald,Jones II,RB,TB,13
28,Kerryon,Johnson,RB,DET,5
29,Raheem,Mostert,RB,SF,11
30,Mark,Ingram II,RB,BAL,8
31,Kareem,Hunt,RB,CLE,9
32,Darrell,Henderson Jr.,RB,LAR,9
33,Ke'Shawn,Vaughn,RB,TB,13
34,Tarik,Cohen,RB,CHI,11
35,Jordan,Howard,RB,MIA,11
36,Derrius,Guice,RB,WAS,8
37,Tevin,Coleman,RB,SF,11
38,Phillip,Lindsay,RB,DEN,8
39,J.K.,Dobbins,RB,BAL,8
40,Zack,Moss,RB,BUF,11
41,Sony,Michel,RB,NE,6
42,Marlon,Mack,RB,IND,7
43,James,White,RB,NE,6
44,Alexander,Mattison,RB,MIN,7
45,Matt,Breida,RB,MIA,11
46,Latavius,Murray,RB,NO,6
47,Boston,Scott,RB,PHI,9
48,Anthony,McFarland Jr.,RB,PIT,8
49,Tony,Pollard,RB,DAL,10
50,Darrynton,Evans,RB,TEN,7
51,Joshua,Kelley,RB,LAC,10
52,Nyheim,Hines,RB,IND,7
53,Duke,Johnson,RB,HOU,8
54,Justin,Jackson,RB,LAC,10
55,Damien,Harris,RB,NE,6
56,Antonio,Gibson,RB,WAS,8
57,AJ,Dillon,RB,GB,5
58,Jerick,McKinnon,RB,SF,11
59,Ryquell,Armstead,RB,JAC,7
60,DeAndre,Washington,RB,KC,10
61,Carlos,Hyde,RB,SEA,6
62,Gus,Edwards,RB,BAL,8
63,Chase,Edmonds,RB,ARI,8
64,Malcolm,Brown,RB,LAR,9
65,Jamaal,Williams,RB,GB,5
66,Bryce,Love,RB,WAS,8
67,Ito,Smith,RB,ATL,10
68,Rashaad,Penny,RB,SEA,6
69,La'Mical,Perine,RB,NYJ,11
70,Giovani,Bernard,RB,CIN,9
71,Benny,Snell Jr.,RB,PIT,8
72,Lynn,Bowden Jr.,RB,LV,6
73,Devonta,Freeman,RB,FA,0
74,Rex,Burkhead,RB,NE,6
75,Jaylen,Samuels,RB,PIT,8
76,Chris,Thompson,RB,JAC,7
77,Reggie,Bonnafon,RB,CAR,13
78,Dion,Lewis,RB,NYG,11
79,Adrian,Peterson,RB,WAS,8
